"","num_cells","method","time","memory"
"1",1000,"callback",0.146484259764353,803.5
"2",1000,"sc-SHC",0.108690841992696,1218.6
"3",1000,"CHOIR",0.977887455622355,149
"4",2000,"callback",0.172057354450226,529
"5",2000,"sc-SHC",0.165315381685893,1189.7
"6",2000,"CHOIR",6.76919776598612,365.9
"7",5000,"callback",0.465808852513631,1125.9
"8",5000,"sc-SHC",0.427305205663045,1130.2
"9",5000,"CHOIR",7.38569555679957,684.1
"10",10000,"callback",0.754762514432271,1022.1
"11",10000,"sc-SHC",0.568353764216105,1397.3
"12",10000,"CHOIR",14.2802849173546,1396.1
"13",20000,"callback",1.98993038336436,1614.8
"14",20000,"sc-SHC",1.44839897553126,3621.3
"15",20000,"CHOIR",33.4333033760389,1966.2
"16",30000,"callback",2.58486535946528,3047.3
"17",30000,"sc-SHC",2.0689585963885,6848.3
"18",30000,"CHOIR",40.1443550666173,2925
"19",40000,"callback",3.84740726947784,3337.8
"20",40000,"sc-SHC",3.31405133008957,11692.5
"21",40000,"CHOIR",45.6451698859533,5300.7
"22",50000,"callback",5.67310585180918,4053.1
"23",50000,"sc-SHC",5.11856242418289,17720.4
"24",50000,"CHOIR",73.5413729945819,6482.6
"25",60000,"callback",6.94677830139796,5468.4
"26",60000,"sc-SHC",6.08695708910624,25102.1
"27",60000,"CHOIR",99.4290653586388,10074.2
"28",68579,"callback",9.99811410109202,4982.3
"29",68579,"sc-SHC",7.70689480702082,32087.9
"30",68579,"CHOIR",121.563325468699,12265.4
