"","num_cells","method","time","memory"
"1",1000,"callback",0.150549042224884,803.5
"2",1000,"sc-SHC",0.13465162118276,1218.6
"3",1000,"CHOIR",1.12440923452377,149
"4",2000,"callback",0.198995320002238,528.6
"5",2000,"sc-SHC",0.201013851165771,1190.1
"6",2000,"CHOIR",7.79954963127772,361.9
"7",5000,"callback",0.468171199162801,1125.2
"8",5000,"sc-SHC",0.49655472834905,1130.2
"9",5000,"CHOIR",8.40440021753311,683.9
"10",10000,"callback",0.825784603754679,1022.1
"11",10000,"sc-SHC",0.658743409315745,1397.3
"12",10000,"CHOIR",16.5435254732768,1397.3
"13",20000,"callback",1.90882204373678,1614.9
"14",20000,"sc-SHC",1.54094019333522,3647.9
"15",20000,"CHOIR",33.8506696899732,1983.4
"16",30000,"callback",2.58350721597672,3072.2
"17",30000,"sc-SHC",2.07559642791748,6856.3
"18",30000,"CHOIR",38.47262789011,2929.2
"19",40000,"callback",3.91255323489507,3342.8
"20",40000,"sc-SHC",3.29675880273183,11697.3
"21",40000,"CHOIR",44.195002357165,5298.6
"22",50000,"callback",5.75309576193492,4053.1
"23",50000,"sc-SHC",5.00230666001638,17945.6
"24",50000,"CHOIR",70.5511175831159,6484.3
"25",60000,"callback",7.37149461905162,5553.2
"26",60000,"sc-SHC",9.16473128795624,25106.5
"27",60000,"CHOIR",95.9282507975896,11867.7
"28",68579,"callback",9.92081367174784,4982.3
"29",68579,"sc-SHC",7.61159719626109,32057.2
"30",68579,"CHOIR",122.066805700461,12802.4
