"","num_cells","method","time","memory"
"1",1000,"callback",0.159394045670827,803.5
"2",1000,"sc-SHC",0.151860864957174,1218.6
"3",1000,"CHOIR",1.27018625338872,149
"4",2000,"callback",0.193387019634247,529
"5",2000,"sc-SHC",0.203875490029653,1189.7
"6",2000,"CHOIR",8.12712308168411,365.9
"7",5000,"callback",0.452677722771962,1125.9
"8",5000,"sc-SHC",0.492881651719411,1130.2
"9",5000,"CHOIR",8.48530093828837,684.1
"10",10000,"callback",0.790497668584188,1022.1
"11",10000,"sc-SHC",0.652749021848043,1397.3
"12",10000,"CHOIR",15.4171186327934,1371.2
"13",20000,"callback",2.05822660923004,1614.9
"14",20000,"sc-SHC",1.61595534483592,3647.9
"15",20000,"CHOIR",37.070986020565,1983.4
"16",30000,"callback",3.09170401096344,3072.2
"17",30000,"sc-SHC",3.37860406239827,6856.3
"18",30000,"CHOIR",51.0451183279355,2929.2
"19",40000,"callback",4.85262385606766,3342.8
"20",40000,"sc-SHC",3.88899554808935,11697.3
"21",40000,"CHOIR",54.6186764240265,4986.4
"22",50000,"callback",7.11310650507609,4053.1
"23",50000,"sc-SHC",6.05540678501129,17824
"24",50000,"CHOIR",87.8904536445936,6351.6
"25",60000,"callback",8.33405050039291,5513.8
"26",60000,"sc-SHC",6.96987301111221,25132.9
"27",60000,"CHOIR",116.614821016788,9596.7
"28",68579,"callback",12.0484443386396,4982.3
"29",68579,"sc-SHC",9.56137360731761,32084.8
"30",68579,"CHOIR",142.016386095683,12265.5
